ug_icc,ugr,ugr_id,uf
GERENCIA REG. ADMINISTRACAO DO ME-MATO GROSSO,GERENCIA REG. ADMINISTRACAO DO ME-MATO GROSSO,170190,MT
GERENCIA REG. DE ADM. DO ME - ESPIRITO SANTO,GERENCIA REG. DE ADM. DO ME - ESPIRITO SANTO,170100,ES
GERENCIA REG. DE ADMINISTRACAO DO ME - ACRE,GERENCIA REG. DE ADMINISTRACAO DO ME - ACRE,170344,AC
GERENCIA REG. DE ADMINISTRACAO DO ME - AMAPA,GERENCIA REG. DE ADMINISTRACAO DO ME - AMAPA,170345,AP
GERENCIA REG. DE ADMINISTRACAO DO ME - GOIAS,GERENCIA REG. DE ADMINISTRACAO DO ME - GOIAS,170195,GO
GERENCIA REG. DE ADMINISTRACAO DO ME - PIAUI,GERENCIA REG. DE ADMINISTRACAO DO ME - PIAUI,170032,PI
GERENCIA REG. DE ADMINISTRACAO DO ME-AMAZONAS,GERENCIA REG. DE ADMINISTRACAO DO ME-AMAZONAS,170207,AM
GERENCIA REG. DE ADMINISTRACAO DO ME-RONDONIA,GERENCIA REG. DE ADMINISTRACAO DO ME-RONDONIA,170346,RO
GERENCIA REG.DE ADM.DO ME - SANTA CATARINA,GERENCIA REG.DE ADM.DO ME - SANTA CATARINA,170166,SC
GERENCIA REG.DE ADM.DO ME-MATO GROSSO DO SUL,GERENCIA REG.DE ADM.DO ME-MATO GROSSO DO SUL,170106,MS
GERENCIA REG.DE ADM.DO ME-RIO GARNDE DO NORTE,GERENCIA REG.DE ADM.DO ME-RIO GARNDE DO NORTE,170045,RN
GERENCIA REG.DE ADMINISTRACAO DO ME - ALAGOAS,GERENCIA REG.DE ADMINISTRACAO DO ME - ALAGOAS,170064,AL
GERENCIA REG.DE ADMINISTRACAO DO ME - PARAIBA,GERENCIA REG.DE ADMINISTRACAO DO ME - PARAIBA,170050,PB
GERENCIA REG.DE ADMINISTRACAO DO ME - RORAIMA,GERENCIA REG.DE ADMINISTRACAO DO ME - RORAIMA,170347,RR
GERENCIA REG.DE ADMINISTRACAO DO ME - SERGIPE,GERENCIA REG.DE ADMINISTRACAO DO ME - SERGIPE,170069,SE
GERENCIA REG.DE ADMINISTRACAO DO ME-MARANHAO,GERENCIA REG.DE ADMINISTRACAO DO ME-MARANHAO,170025,MA
SUPERINTENDENCIA REG. ADM. DO ME - BAHIA,SUPERINTENDENCIA REG. ADM. DO ME - BAHIA,170075,BA
SUPERINTENDENCIA REG. ADM. DO ME - CEARA,SUPERINTENDENCIA REG. ADM. DO ME - CEARA,170038,CE
SUPERINTENDENCIA REG. ADM. DO ME - PARA,SUPERINTENDENCIA REG. ADM. DO ME - PARA,170214,PA
SUPERINTENDENCIA REG. ADM. DO ME - PARANA,SUPERINTENDENCIA REG. ADM. DO ME - PARANA,170153,PR
SUPERINTENDENCIA REG. ADM. DO ME - PERNANBUCO,SUPERINTENDENCIA REG. ADM. DO ME - PERNANBUCO,170055,PE
SUPERINTENDENCIA REG. ADM. DO ME - SAO PAULO,SUPERINTENDENCIA REG. ADM. DO ME - SAO PAULO,170131,SP
SUPERINTENDENCIA REG. ADM. DO ME-MINAS GERAIS,SUPERINTENDENCIA REG. ADM. DO ME-MINAS GERAIS,170085,MG
SUPERINTENDENCIA REG.ADM.DO ME-RIO DE JANEIRO,SUPERINTENDENCIA REG.ADM.DO ME-RIO DE JANEIRO,170114,RJ
SUPERINTENDENCIA REG.ADM.DO ME-RIO GRANDE SUL,SUPERINTENDENCIA REG.ADM.DO ME-RIO GRANDE SUL,170175,RS
